Año;Mes;Glosa;Índice;Variación Mensual (%)
2009;12;Alimentos;42,65;
2009;12;Bienes;60,18;
2009;12;Energía;52,35;
2009;12;Frutas y verduras frescas;34,65;
2009;12;IPC General menos alimentos y energía;62,98;
2009;12;No Transables;54,22;
2009;12;Servicios;54,42;
2009;12;Transables;59,51;
2010;1;Alimentos;42,39;-0,6
2010;1;Bienes;59,82;-0,6
2010;1;Energía;52,72;0,7
2010;1;Frutas y verduras frescas;33,16;-4,3
2010;1;IPC General menos alimentos y energía;63,48;0,8
2010;1;No Transables;55,3;2
2010;1;Servicios;55,45;1,9
2010;1;Transables;59,21;-0,5
2010;2;Alimentos;42,31;-0,2
2010;2;Bienes;60,06;0,4
2010;2;Energía;53,77;2
2010;2;Frutas y verduras frescas;31,44;-5,2
2010;2;IPC General menos alimentos y energía;63,61;0,2
2010;2;No Transables;55,52;0,4
2010;2;Servicios;55,56;0,2
2010;2;Transables;59,33;0,2
2010;3;Alimentos;42,69;0,9
2010;3;Bienes;60,18;0,2
2010;3;Energía;53,82;0,1
2010;3;Frutas y verduras frescas;32,07;2
2010;3;IPC General menos alimentos y energía;63,55;-0,1
2010;3;No Transables;55,52;0
2010;3;Servicios;55,56;0
2010;3;Transables;59,39;0,1
2010;4;Alimentos;42,6;-0,2
2010;4;Bienes;60,48;0,5
2010;4;Energía;55,92;3,9
2010;4;Frutas y verduras frescas;31,14;-2,9
2010;4;IPC General menos alimentos y energía;63,68;0,2
2010;4;No Transables;55,8;0,5
2010;4;Servicios;55,78;0,4
2010;4;Transables;59,63;0,4
2010;5;Alimentos;42,86;0,6
2010;5;Bienes;60,6;0,2
2010;5;Energía;56,87;1,7
2010;5;Frutas y verduras frescas;31,64;1,6
2010;5;IPC General menos alimentos y energía;63,74;0,1
2010;5;No Transables;56,02;0,4
2010;5;Servicios;56,11;0,6
2010;5;Transables;59,87;0,4
2010;6;Alimentos;43,03;0,4
2010;6;Bienes;60,42;-0,3
2010;6;Energía;55,39;-2,6
2010;6;Frutas y verduras frescas;31,32;-1
2010;6;IPC General menos alimentos y energía;63,87;0,2
2010;6;No Transables;56,36;0,6
2010;6;Servicios;56,33;0,4
2010;6;Transables;59,63;-0,4
2010;7;Alimentos;43,46;1
2010;7;Bienes;60,3;-0,2
2010;7;Energía;55,5;0,2
2010;7;Frutas y verduras frescas;32,13;2,6
2010;7;IPC General menos alimentos y energía;64,25;0,6
2010;7;No Transables;57,37;1,8
2010;7;Servicios;57,29;1,7
2010;7;Transables;59,45;-0,3
2010;8;Alimentos;43,98;1,2
2010;8;Bienes;60,42;0,2
2010;8;Energía;56,44;1,7
2010;8;Frutas y verduras frescas;33,8;5,2
2010;8;IPC General menos alimentos y energía;63,8;-0,7
2010;8;No Transables;56,85;-0,9
2010;8;Servicios;57,06;-0,4
2010;8;Transables;59,81;0,6
2010;9;Alimentos;44,6;1,4
2010;9;Bienes;60,6;0,3
2010;9;Energía;55,76;-1,2
2010;9;Frutas y verduras frescas;35,29;4,4
2010;9;IPC General menos alimentos y energía;63,99;0,3
2010;9;No Transables;57,19;0,6
2010;9;Servicios;57,35;0,5
2010;9;Transables;59,99;0,3
2010;10;Alimentos;44,96;0,8
2010;10;Bienes;60,66;0,1
2010;10;Energía;56,26;0,9
2010;10;Frutas y verduras frescas;36,56;3,6
2010;10;IPC General menos alimentos y energía;63,86;-0,2
2010;10;No Transables;57,19;0
2010;10;Servicios;57,41;0,1
2010;10;Transables;60,05;0,1
2010;11;Alimentos;45;0,1
2010;11;Bienes;60,66;0
2010;11;Energía;57,5;2,2
2010;11;Frutas y verduras frescas;35,83;-2
2010;11;IPC General menos alimentos y energía;63,73;-0,2
2010;11;No Transables;57,25;0,1
2010;11;Servicios;57,47;0,1
2010;11;Transables;60,05;0
2010;12;Alimentos;45,04;0,1
2010;12;Bienes;60,48;-0,3
2010;12;Energía;57,5;0
2010;12;Frutas y verduras frescas;34,18;-4,6
2010;12;IPC General menos alimentos y energía;63,79;0,1
2010;12;No Transables;57,65;0,7
2010;12;Servicios;57,87;0,7
2010;12;Transables;59,81;-0,4
2011;1;Alimentos;44,68;-0,8
2011;1;Bienes;60,54;0,1
2011;1;Energía;59,46;3,4
2011;1;Frutas y verduras frescas;32,16;-5,9
2011;1;IPC General menos alimentos y energía;63,85;0,1
2011;1;No Transables;57,88;0,4
2011;1;Servicios;58,16;0,5
2011;1;Transables;59,93;0,2
2011;2;Alimentos;44,68;0
2011;2;Bienes;60,72;0,3
2011;2;Energía;59,46;0
2011;2;Frutas y verduras frescas;31,81;-1,1
2011;2;IPC General menos alimentos y energía;64,04;0,3
2011;2;No Transables;58,11;0,4
2011;2;Servicios;58,28;0,2
2011;2;Transables;59,99;0,1
2011;3;Alimentos;45,26;1,3
2011;3;Bienes;61,21;0,8
2011;3;Energía;61,07;2,7
2011;3;Frutas y verduras frescas;33,78;6,2
2011;3;IPC General menos alimentos y energía;64,3;0,4
2011;3;No Transables;58,57;0,8
2011;3;Servicios;58,69;0,7
2011;3;Transables;60,41;0,7
2011;4;Alimentos;45,58;0,7
2011;4;Bienes;61,39;0,3
2011;4;Energía;62,29;2
2011;4;Frutas y verduras frescas;33,41;-1,1
2011;4;IPC General menos alimentos y energía;64,3;0
2011;4;No Transables;58,69;0,2
2011;4;Servicios;58,87;0,3
2011;4;Transables;60,65;0,4
2011;5;Alimentos;46,04;1
2011;5;Bienes;61,7;0,5
2011;5;Energía;62,98;1,1
2011;5;Frutas y verduras frescas;34,21;2,4
2011;5;IPC General menos alimentos y energía;64,36;0,1
2011;5;No Transables;58,92;0,4
2011;5;Servicios;59,05;0,3
2011;5;Transables;60,89;0,4
2011;6;Alimentos;46,32;0,6
2011;6;Bienes;61,58;-0,2
2011;6;Energía;63,61;1
2011;6;Frutas y verduras frescas;34,76;1,6
2011;6;IPC General menos alimentos y energía;64,3;-0,1
2011;6;No Transables;59,1;0,3
2011;6;Servicios;59,4;0,6
2011;6;Transables;60,89;0
2011;7;Alimentos;46,41;0,2
2011;7;Bienes;61,52;-0,1
2011;7;Energía;63,8;0,3
2011;7;Frutas y verduras frescas;34,55;-0,6
2011;7;IPC General menos alimentos y energía;64,36;0,1
2011;7;No Transables;59,34;0,4
2011;7;Servicios;59,64;0,4
2011;7;Transables;60,83;-0,1
2011;8;Alimentos;46,64;0,5
2011;8;Bienes;61,64;0,2
2011;8;Energía;63,67;-0,2
2011;8;Frutas y verduras frescas;34,34;-0,6
2011;8;IPC General menos alimentos y energía;64,42;0,1
2011;8;No Transables;59,46;0,2
2011;8;Servicios;59,76;0,2
2011;8;Transables;60,89;0,1
2011;9;Alimentos;47,2;1,2
2011;9;Bienes;62,07;0,7
2011;9;Energía;63,67;0
2011;9;Frutas y verduras frescas;36,64;6,7
2011;9;IPC General menos alimentos y energía;64,68;0,4
2011;9;No Transables;59,64;0,3
2011;9;Servicios;59,88;0,2
2011;9;Transables;61,32;0,7
2011;10;Alimentos;47,91;1,5
2011;10;Bienes;62,5;0,7
2011;10;Energía;64,24;0,9
2011;10;Frutas y verduras frescas;37,26;1,7
2011;10;IPC General menos alimentos y energía;64,74;0,1
2011;10;No Transables;59,82;0,3
2011;10;Servicios;60;0,2
2011;10;Transables;61,69;0,6
2011;11;Alimentos;48,58;1,4
2011;11;Bienes;62,75;0,4
2011;11;Energía;64,05;-0,3
2011;11;Frutas y verduras frescas;39,46;5,9
2011;11;IPC General menos alimentos y energía;64,8;0,1
2011;11;No Transables;60;0,3
2011;11;Servicios;60,12;0,2
2011;11;Transables;61,94;0,4
2011;12;Alimentos;48,92;0,7
2011;12;Bienes;62,81;0,1
2011;12;Energía;64,11;0,1
2011;12;Frutas y verduras frescas;39,66;0,5
2011;12;IPC General menos alimentos y energía;65,19;0,6
2011;12;No Transables;60,66;1,1
2011;12;Servicios;60,84;1,2
2011;12;Transables;62,06;0,2
2012;1;Alimentos;48,68;-0,5
2012;1;Bienes;62,94;0,2
2012;1;Energía;63,73;-0,6
2012;1;Frutas y verduras frescas;38,95;-1,8
2012;1;IPC General menos alimentos y energía;65,45;0,4
2012;1;No Transables;60,84;0,3
